PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activation,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent activation of the primary screen at a compound concentration of 11.6 micromolar.,Standard deviation of the confirmation assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,11.6,
573,7968477,5309427,COC1=C(C=C(C=C1)CCNC(=O)CC2C(=O)NC3=C(O2)C=CC(=C3)Cl)OC,Active,4,,,45.8,6.19811
574,17511271,2790519,CC1=CC2=C(C=C1)NC(=C2N=NC(=O)C(C)N3C=NC4=CC=CC=C4C3=O)O,Active,4,,,45.77,4.07155
575,17408692,9595084,CCN1C2=C(C=C(C=C2)NC(=O)C/C(=N/NC(=O)C3=CC=CC=C3N)/C)C4=CC=CC=C41,Active,4,,,45.67,11.1614
576,17510194,12005118,CC1=C2C(=C(C(=C(C2=NC3=CC=CC=C13)F)N(C)C)F)F,Active,4,,,45.62,2.9942
577,4259954,884438,CC1=C(C(=NC(=N1)C2=CC=C(C=C2)Cl)NC(=O)C(C)C)C(=O)C,Active,4,,,45.53,2.30138
578,7967893,5309099,CN1C2=C(C=C(S2)C(=O)N3CCN(CC3)C4=CC=CC=N4)C(=N1)C5=CC=C(C=C5)Cl,Active,4,,,45.47,6.41622
579,24786030,2957440,CC1=CC=CC=C1C2=NC(=NN2)NC3=NC(=CC(=N3)C)C,Active,4,,,45.33,6.04242
580,857718,659077,COC1=CC=CC=C1C(=O)NC(=NC2=NC3=CC=CC=C3O2)NC(=O)C4=CC=CC=C4OC,Active,4,,,45.3,5.22577
581,864445,665692,CC1=CC(=NN1C2=NC3=C(N2CC(C4=CC=CC=C4)O)C(=O)NC(=O)N3C)C,Active,4,,,45.25,3.51968
582,49825486,24818962,CC(C)C1=NOC(=C1)CNC(=O)C2=NOC(=C2)COC3=C(C=C(C=C3)Cl)OC,Active,4,,,45.16,0.799575
583,24788601,601275,CCC1=NN=C(S1)NC(=O)CSC2=C(C(=CC(=N2)C)C)C#N,Active,4,,,45.09,8.4613
584,17413550,5345855,CCCN1C2=CC=CC=C2N=C1/C=C/C3=CC=CC=C3,Active,4,,,45.06,4.29609
585,17411143,2766816,CN=C(C1=CC=C(C=C1)C(F)(F)F)NC2=CC=C(C=C2)Cl,Active,4,,,45.03,8.56944
586,862584,6602826,CCC1=NC2=C(C(=N1)NC3=CC4=NC=CN=C4C=C3)OC5=CC=CC=C52.Cl,Active,4,,,45.03,7.5227
587,3712025,2117015,C1=CC=C(C=C1)OCCOC2=C3C=CSC3=NC=N2,Active,4,,,45.01,1.27699
588,24832955,16241844,C1=CC=C(C=C1)C2=CN(C(=S)N2)/N=C/C3=CC=CC=C3F,Active,4,,,45.01,2.11689
589,17407156,11958457,CCCC(=O)NC1=NC(=C(S1)C2=CSC(=N2)NC3=C(C=CC(=C3)OC)OC)C,Active,4,,,44.96,4.69367
590,17514283,4462553,COC1=CC=C(C=C1)C2CC(=NN2C(=O)CSC3=NC4=CC=CC=C4O3)C5=CC=CS5,Active,4,,,44.93,7.85309
591,7970746,3843686,CC1=CC(=CC=C1)N2C3=NC=NC(=C3C=N2)NCCCN4C=CN=C4,Active,4,,,44.86,4.33202
592,24824372,4372116,C1CC2=C(C=C3C(OC4=C(C3=N2)C=CC5=CC=CC=C54)O)C(=O)C1,Active,4,,,44.83,11.5251
593,49828824,2220684,CC1=CC(=C2C(=C1)C(=CC(=N2)C3=CC=NC=C3)C(=O)NCC=C)C,Active,4,,,44.8,7.54672
594,49666472,1472010,C1=CC(=C(N=C1)Cl)C2=NC3=CC(=C(C=C3N2)Cl)Cl,Active,4,,,44.75,9.9086
595,4256485,892191,CCN1C(=C(C=N1)Br)C(=O)NC2=NC=C(C=C2)Cl,Active,4,,,44.69,8.90646
596,17513652,6298579,CC1CC1C2=CC=C(O2)/C=C(\C#N)/C(=O)NC3=CC=C(C=C3)Cl,Active,4,,,44.64,9.25353
597,17514731,748471,CCOC1=CC=C(C=C1)NC(=O)C2=CSC3=C2CCCC3,Active,4,,,44.6,5.84538
598,17431818,5350491,C1CCN(C1)C2=NC(=NC3=CC=CC=C32)/C=C/C4=CC=CC=C4,Active,4,,,44.58,1.81737
599,49674281,2521169,CSCC1=C(OC2=CC=CC=C21)C(=O)NC3=CC4=C(C=C3)OCO4,Active,4,,,44.53,2.99798
600,49666811,5423405,C1=CC=C\2C(=C1)C3=C(C=CC=C3/C2=N\NC(=S)N)C#N,Active,4,,,44.46,9.97755
601,47201203,912419,COC1=CC=CC(=C1OC)C(=O)NC2=CC=CC3=CC=CC=C32,Active,4,,,44.43,7.77519
602,14743159,2016705,C=CCNC1=NC=NC2=C1NC3=C2C=C(C=C3)Cl,Active,4,,,44.38,3.23871
603,85198152,25058299,CC1=C(NC2=C1C=C(C=C2)C(F)(F)F)C3(CCCCC3)O,Active,4,,,44.35,9.6183
604,859501,135449604,CSC1=NC2=C(C3=C(N2)CCCC3)C4=NN=NN41,Active,4,,,44.33,4.66812
605,49825509,1292951,CC1=CC(=NC(=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC5=C(C=C4)OCO5)C,Active,3,,,44.24,3.65882
606,49827015,9563711,CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C2CC2,Active,3,,,44.22,10.0729
607,24795257,2981199,C1=CC=C(C=C1)CCNCC2=C(C=CC(=C2)Br)OCC(=O)NCC3=CC=CC=C3.Cl,Active,3,,,44.21,6.59525
608,17410025,3259062,CC1=NC2=CC(=NN2C(=C1)C(F)(F)F)C3=C(C=CS3)N4C=CC=C4,Active,3,,,44.05,3.61976
609,4250300,3244133,CN1C2=C(C=C(S2)C(=O)NCC3=CC=CO3)C(=N1)C4=CC(=CC=C4)OC,Active,3,,,44.03,5.6449
610,17517256,6303399,CCN(CC1=CC=CC=C1)C2=CC=C(C=C2)/C=C(\C#N)/C3=CC=CC=N3,Active,3,,,43.9,2.92022
611,22409290,2574630,CCCC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)NCC3=CC=CS3,Active,3,,,43.77,8.89394
612,17386958,843368,C1=CC(=CC(=C1)OC(F)F)C(=O)NC2=CC(=CC(=C2)Cl)Cl,Active,3,,,43.59,4.03711
613,14745760,2354941,C=CCNC1=C(C(=C(S1)C(=O)C2=CC=CC=C2)N)C3=NC4=CC=CC=C4S3,Active,3,,,43.55,10.3697
614,17431495,755177,CC1=CC(=NC(=N1)C2=CC=C(C=C2)Br)N3CCOCC3,Active,3,,,43.27,18.3143
615,85146381,44142263,CN1C2=CC=CC=C2C(=C1C=O)C#CC3=CC(=CC=C3)OC,Active,3,,,43.23,9.91241
616,49732211,24793037,CC1=C(NC2=CC=CC=C12)CN3CCC(CC3)N4C(=CC=N4)NC(=O)C5CC5,Active,3,,,43.23,11.788
617,24787489,890597,C1CCN(C1)C2=CC=CC=C2NC(=S)NC(=O)C3=CC(=CC=C3)F,Active,3,,,43.1,4.94567
618,24800475,16192144,CC1=C(N=C(O1)C2=CC3=CC=CC=C3C=C2)CN(C)C(C)C4=NC=NC=C4,Active,3,,,43.09,11.5228
619,4258134,947805,C1=CC=C2C(=C1)N(C(=O)C=[N+]2[O-])OCC3=C(C=CC=C3F)F,Active,3,,,42.91,4.16459
620,14727219,756538,C1=CC=C(C=C1)C2=CC(=NC(=N2)NCC3=CN=CC=C3)C(F)(F)F,Active,3,,,42.9,8.71561
621,7967652,718822,COC1=CC=CC=C1CC2=NC(=NO2)C3=CC=C(O3)Br,Active,3,,,42.88,7.67409
622,24810623,773698,CC1=CC(=NC=C1)NC(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,3,,,42.85,2.1197
623,47196746,1535890,C1=CC=C(C=C1)COC2=CC=CC=C2NC(=O)C3=CC=CC=C3Br,Active,3,,,42.82,4.9213
624,47199973,1259898,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=C(O3)Br)Cl,Active,3,,,42.78,5.31965
625,24786440,6468217,C1CC2=C(C1)C=C(C=C2)NC(=O)NC3=CC4=C(C=C3)OCO4,Active,3,,,42.68,4.86902
626,24822316,1481242,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC=C(C=C2)F)N3C=CC=C3,Active,3,,,42.66,3.01568
627,49817183,5205296,C=CCN1C2=CC=CC=C2C(=C1O)N=NC(=O)CNC(=O)C3=CC=NC=C3,Active,3,,,42.64,1.65551
628,4258158,1246707,CC1=CC(=CS1)C(=O)NC2=CC3=C(C=C2)OCO3,Active,3,,,42.63,6.73144
629,26661480,756038,C1OC2=C(O1)C=C(C=C2)NC(=O)C3=NNC(=O)C4=CC=CC=C43,Active,3,,,42.54,8.9271
630,22407225,9642760,C1=CC=C(C=C1)N/N=C(/CC2=NC3=CC=CC=C3N2)\C4=CC(=CC=C4)Cl,Active,3,,,42.53,2.11431
631,24793943,1509196,C1OC2=C(O1)C=C(C=C2)C(=O)NC3=NN(C=C3)CC4=CC=CC=C4,Active,3,,,42.51,3.17872
632,49647290,24747664,CCC1=NC2=C(C(=N1)NC3=CC=CC=C3F)OC4=CC=CC=C42.Cl,Active,3,,,42.5,7.64595
633,22406775,2123729,CC1=CC=C(C=C1)C(=O)C2=C(C3=C(S2)N(C(=O)NC3=O)CCC4=CC=CC=C4)N,Active,3,,,42.4,5.25056
634,22411706,15945476,COC1=CC=C(C=C1)C2=C(N=C(N2)C3=CC=CC=C3)SCC(=O)NC4=NC=CS4,Active,3,,,42.38,14.4512
635,22412005,5342196,CCC1=CC=C(S1)/C=N/NC(=O)C2=CNC3=CC=CC=C32,Active,3,,,42.29,3.96504
636,49825811,2995595,COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N=C2)NC(=O)CNC(=O)C4=CC=CC=C4,Active,3,,,42.28,9.32791
637,7965426,5307613,CCCN(CCC)CCNC(=O)C1=CC2=C(N1C)C3=CC=CC=C3N(C2=O)C,Active,3,,,42.07,2.95318
638,24808257,855254,CCN1C(=NN=N1)SCC(=O)NC2=NC3=CC=CC=C3S2,Active,3,,,41.98,2.32006
639,17413671,5390201,CC1=CC(=CC=C1)NC(=S)N/N=C(\C)/C2=CC=CC=C2,Active,3,,,41.89,11.3337
640,845394,647737,CC1=NN2C(NC3=CC=CC=C3C2=C1)C4=CC5=C(C=C4)OCO5,Active,3,,,41.73,0.718471
641,22410872,2468957,CN(C)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=C(C=C3C4=CC=CC=C4OC3=C2)OC,Active,3,,,41.72,27.5205
642,17403637,6894174,CC1=C(SC=C1)/C=N/NC(=O)C2=CNC3=CC=CC=C32,Active,3,,,41.65,5.78596
643,17506276,1243429,C1OC2=C(O1)C=C(C=C2)CNC(=O)CSC3=NC4=CC=CC=C4S3,Active,3,,,41.64,5.31795
644,56322645,24982167,COC1=CC=C(C=C1)C2=NCCN3C2=C4C=CC(=CC4=N3)C(F)(F)F,Active,3,,,41.59,4.53476
645,14732429,722995,C1=CC=C(C=C1)CCNC(=O)C2=CC=CC=C2NC(=O)C3=CC=CO3,Active,3,,,41.55,5.16916
646,49736664,23607667,CCC1=CC(=CC=C1)NC(=O)C2CCCN(C2)C3=NC=CN=C3,Active,3,,,41.49,4.9285
647,17433133,2945202,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NCC3=CN=CC=C3,Active,3,,,41.38,7.91755
648,856867,658225,CNC1=CC=CC=C1C2=NC3=CC=CC=C3N(C2=O)C,Active,3,,,41.38,6.27984
649,49829341,9103925,CC1=C(C=C(C=C1)C(=O)N=C2N(C=CS2)C)C,Active,3,,,41.34,4.3607
650,24789702,2962284,C1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCN3C=CN=C3,Active,3,,,41.3,8.28949
651,7965897,2838127,CC1=CC(=CC=C1)N2CCC3=C(C4=CC=CC=C4N=C32)N.Cl,Active,3,,,41.25,13.0081
652,4243790,704624,C1=CC=NC(=C1)NC2=NC(=CS2)C3=CN=CC=C3,Active,3,,,41.23,12.3041
653,14735474,6623232,CCC1=CC=C(C=C1)NC(=O)C2=C(C=CS2)N3C=CC=C3,Active,3,,,41.21,1.28713
654,49721928,16013994,CC1=C(C=C(C=C1)Cl)NC(=O)C2CCCN(C2)C3=NC=CN=C3,Active,3,,,41.17,2.27366
655,17409988,1482467,CSC(=NC#N)N1CCN(CC1)C2=CC(=CC=C2)Cl,Active,3,,,41.09,4.91669
656,49668447,2265197,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=CC=C3F,Active,3,,,41.08,9.32173
657,863028,6603227,CCC1=NC2=C(C(=N1)NCCCN3C=CN=C3)OC4=CC=CC=C42.Cl,Active,3,,,41.07,2.19692
658,85200097,2395427,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2OCC(=O)NC3=CC=CC=C3C#N,Active,3,,,41.07,2.62187
659,17410923,6875570,CC1=CC(=CC=C1)NC(=S)N/N=C/C2=CC(=CC=C2)[N+](=O)[O-],Active,3,,,40.97,2.29676
660,4263066,1248344,C1=CC=C(C=C1)CCN2C(=NC3=CC=CC=C3C2=O)C4=COC=C4,Active,3,,,40.94,9.89113
661,49816417,1337323,CC1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)Cl)NC(=O)C3=CC=CS3,Active,3,,,40.86,8.95831
662,49669829,2166253,CCCC1=CC(=C(C=C1)OCC2=CC=C(O2)C(=O)NCCC)OC,Active,3,,,40.83,4.46306
663,49667620,681811,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C3=CC=CC=C3OC,Active,3,,,40.6,6.17393
664,24810552,16193135,CCC(C)NCC(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])C(=O)NC2=CC=CC=C2F,Active,3,,,40.52,4.13841
665,4251887,3245517,C1=CC(=C2C(=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CO4)F,Active,3,,,40.5,6.84934
666,26669601,9633907,CC1=C(C2=C(N1C)C=CC(=C2)OC)/C=N/NC3=NC4=CC=CC=C4N3,Active,3,,,40.44,5.35247
667,49666450,4304234,COC1=C(C=C(C=C1)Cl)NCCC(C2=CC=C(C=C2)F)O,Active,3,,,40.42,2.4728
668,17505478,5513602,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N/N=C/3\CCCC4=CC=CC=C43)CC5=CC=C(C=C5)F,Active,3,,,40.32,7.06994
669,14747182,2454966,C1CN(CCN1C2=CC=CC=C2O)C(=O)C3=NC4=CC=CC=C4C=C3,Active,3,,,40.3,2.36706
670,24791941,16189687,CCOC(=O)C1(CCN(CC1)C(=O)C2=CC3=CC=CC=C3N2)CC4=CC=C(C=C4)OC,Active,3,,,40.29,3.1721
671,47203897,2989507,CN1C2=CC=CC=C2N(C1=O)CCC3=CC=CC=C3,Active,3,,,40.08,12.0709
672,17514306,9646475,C1CC2=CC=CC=C2N(C1)CC(=O)N/N=C/C3=CC=CC=C3,Active,3,,,39.96,2.21851
673,22408366,6905917,CC1=NN(C(=C1/C=N/NC(=O)C2=CN=CC=C2)Cl)CC3=CC=C(C=C3)Cl,Active,3,,,39.91,11.3483
674,85147409,44143165,CC1=NC2=C(C(=N1)SCC3=NC4=C(N3)C=CC=C4F)OC5=CC=CC=C52.C(=O)(C(F)(F)F)O,Active,3,,,39.89,6.17246
675,7971447,3438022,C1CN(CC2=CC=CC=C21)C(C3=CC=CC=C3)C4=C(N5C(=NC=N5)S4)O,Active,3,,,39.77,4.52858
676,17513674,5252872,C1C(NC2=CC=CC=C2N=C1C3=CC=CC=C3)C4=CC=C(C=C4)Br,Active,3,,,39.73,6.51849
677,7970850,4612092,CC1=CSC2=NC=C(C(=O)N12)C(=O)NCCC3=CC(=C(C=C3)OC)OC,Active,3,,,39.66,6.80169
678,17410681,3753824,CC1=C(SC(=N1)C2=CC=CC=N2)C(=O)NC3=CC(=C(C=C3)Cl)Cl,Active,3,,,39.64,5.56617
679,49824042,24818672,CCOC1=CC=CC=C1NC(=O)NCC2=CC3=C(C=C2)OCO3,Active,3,,,39.62,6.78478
680,85200984,44202091,C1CN(C=C(C1=O)C2=CC3=CC=CC=C3C=C2)CC4=CC=CC=C4,Active,3,,,39.61,4.71253
681,17515175,9692422,C1=CC=C(C(=C1)/C=N/NC2=NC=NC3=C2NC=N3)F,Active,3,,,39.59,2.41864
682,14722338,750407,C1=CC(=CC=C1NC(=O)C2=NSC(=C2Cl)Cl)F,Active,3,,,39.59,5.2292
683,17432087,2959845,C1=CC=C(C(=C1)COC2=C(C=C(C=C2)Br)CNCCO)Cl.Cl,Active,3,,,39.56,3.04518
684,26671404,5333720,C1=CC(=CN=C1)/C=N/NC(=O)C2=NC(=C(C(=C2Cl)N)Cl)Cl,Active,3,,,39.54,7.04813
685,49679455,3349004,CC1=C(C(=O)N(N1)C(=S)N)N=NC2=CC=C(C=C2)Br,Active,3,,,39.54,4.3818
686,24815221,16194580,CCCS(=O)(=O)NC1=CC=CC(=C1)C2=NC3=C(S2)N=CC=C3,Active,3,,,39.52,10.3288
687,7967260,5308718,CN1C2=C(C=C(S2)C(=O)N3CCN(CC3)C4=CC=CC=C4OC)C(=N1)C5=CC=C(C=C5)Cl,Active,3,,,39.48,7.18293
688,847271,649670,CC1=CC2=C(C=C1)NC(=O)C(=C2)C3=C(N4C=CC(=CC4=N3)C)NCC5=CC=CO5,Active,3,,,39.48,9.26854
689,22416172,799758,C1=CC=C(C(=C1)C2=CC=C(O2)C(=O)NCC3=CN=CC=C3)[N+](=O)[O-],Active,3,,,39.42,5.47459
690,4262244,757837,CC1=CC2=C(N=C(N=C2O1)C3=CC=CC=C3)C,Active,3,,,39.35,1.86902
691,850641,620333,CC(=O)NC1=C(OC2=CC=CC=C21)C(=O)C3=CC=C(C=C3)F,Active,3,,,39.29,5.89612
692,47196003,828055,CC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3OC,Active,3,,,39.22,5.92169
693,7977399,841629,CC1=CC=C(O1)C(=O)NC2=CC3=C(C=C2)OCO3,Active,3,,,39.22,6.33806
694,85201015,466276,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)Br,Active,3,,,39.13,10.6906
695,49647460,1835060,CCOC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCOC,Active,3,,,39.11,7.09999
696,49647239,2033894,CCOC1=CC(=C(C=C1)C2=NC(=NC(=C2C3=CC=C(C=C3)Cl)C)N)O,Active,3,,,39.07,2.49403
697,24816260,7151255,C1CSC2=NC(=CN21)C3=CC(=CC=C3)NC(=O)C4=NC5=CC=CC=C5C=C4,Active,3,,,39.05,7.13912
698,22411980,839896,CCC1=C(SC(=C1C#N)NC(=O)C2=CC=CS2)C,Active,3,,,39.01,5.47413
699,26728751,2744625,CC1=CC(=NO1)C2=C(C(=NO2)C)C(=O)NC3=CC=C(C=C3)C(F)(F)F,Active,3,,,39.01,1.22248
700,26671021,6869836,C1=CC=C(C=C1)C2=NNC(=C2)C3=NNC(=S)N3/N=C/C4=CC=CS4,Active,3,,,38.94,4.51119
701,51090070,24892596,CC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NC3=C(C(=O)N2CCOC)NC4=CC=CC=C43,Active,3,,,38.91,9.49509
702,85271190,3666144,C1=CC(=CC=C1NS(=O)(=O)C2=CC(=C(C=C2)O)NC(=O)C3=C(C=C(C=C3)F)F)Cl,Active,3,,,38.79,14.9239
703,14742213,944105,CC1=NN(C2=C1C=C(S2)C(=O)NC3CC3)C4=CC=CC=C4,Active,3,,,38.7,6.41615
704,24827681,2468633,COC1=CC(=C(C=C1)C2=CSC(=N2)C3=CC=CS3)OC,Active,3,,,38.64,1.27769
705,26658059,16243111,C1C(=O)NC2=CC=CC=C2N1C(=O)CNCC3=CC=CC=C3Cl.C(=O)(C(=O)O)O,Active,3,,,38.62,5.08741
706,24779482,7086347,COC1=CC2=C(C=C1)N=C(S2)NC3=NC(=CS3)C4=CC=NC=C4,Active,3,,,38.61,10.3976
707,49676400,7189877,CC(C)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,Active,3,,,38.58,4.87008
708,26729083,2824308,CC1=C(SC=C1)C2CC(=O)NC3=CC=CC=C3S2,Active,3,,,38.56,7.04489
709,57256418,9209253,CC1=C(OC2=C1C=CC=C2F)C(=O)NCC3=CC=CC=C3CN4CCCC4,Active,3,,,38.53,3.17899
710,14745754,6901636,CNC(=S)N/N=C\1/C2=CC=CC3=C2C(=CC=C3)C1=O,Active,3,,,38.52,3.43597
711,22405838,4566182,CN(C)C1=CC=C(C=C1)NC2=NC(=C(C(=N2)N3CCOCC3)[N+](=O)[O-])N,Active,3,,,38.52,2.44748
712,4252014,2061103,CC1=C(SC2=C1CN(CN2C(=O)C3=CC=CC=C3)CCOC)C,Active,3,,,38.5,2.81969
713,49823421,17379694,COC1=CC=CC(=C1)NC(=O)NC2=CC3=C(C=C2)OCO3,Active,3,,,38.46,4.18519
714,24820893,16195178,C1CCN(CC1)CC(=O)NC2=C3CCN(C3=NC4=CC=CC=C42)C5=CC=CC=C5.C(=O)(C(=O)O)O,Active,3,,,38.4,5.70004
715,49737118,7117369,C1OC2=C(O1)C=C(C=C2)NC(=O)C(=O)C3=CNC4=CC=CC=C43,Active,3,,,38.35,2.86839
716,17514071,6888063,C=CCN1C=C(C2=CC=CC=C21)/C=N/NC(=O)COC3=CC=CC4=C3N=CC=C4,Active,3,,,38.26,17.5426
717,49675063,3853692,CC1=C(C=C(C=C1)C2=CN(C(=S)N2)C3=CC=CC=C3)C,Active,3,,,38.24,3.37771
718,22402766,2518728,CC1=NN(C2=C1C=C(S2)C(=O)NC3=NC=CS3)CC4=CC=C(C=C4)F,Active,3,,,38.21,3.72861
719,4256987,977846,CC1=CC(=NC(=N1)SCC2=NC(=NC(=N2)N)C3=CC=CC=C3O)C,Active,3,,,38.18,6.62078
720,22403953,696887,C1=CC=C(C=C1)CCN2C(=O)C3=CC=CC=C3NC2=S,Active,3,,,38.17,7.20255
721,14729955,1478661,C1=CC=C2C(=C1)C=NN(C2=O)C3=CC=C(C=C3)Br,Active,3,,,38.08,5.88134
722,49719043,807243,CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCO3)Cl,Active,3,,,38.04,8.5582
723,24708181,16066639,C1=CC(=CN=C1)C2=NN(N=N2)C3=CC(=C(C=C3)Cl)Cl,Active,3,,,37.95,4.28871
724,7965795,5307840,CC1=CC(=C(C=C1)C)NC(=O)C2=C(C(=C(N2)C)C(=O)C)C,Active,3,,,37.89,7.19314
725,22406831,9610178,C/C(=N\NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])/C2=CC=C(C=C2)N3C(=CN=N3)C(C)(C)C,Active,3,,,37.88,5.19595
726,24816849,326670,CC1=C(C2=CC=CC=C2N1)SCC3=CC=CC=C3,Active,3,,,37.87,1.36641
727,49665161,8073189,C1=CC=C(C(=C1)C2=NC3=C4C=CC=CC4=NC(=S)N3N2)Br,Active,3,,,37.77,5.82949
728,24822373,5524526,C1=CC=C(C=C1)/C=N\NC(=O)C2=CC=CC=C2N3C=CC=C3,Active,3,,,37.75,6.50153
729,49673505,866991,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=C(C=C(C=C2)F)F,Active,3,,,37.7,11.9353
730,4248359,3242447,C1CCC2=C(C1)C(=CS2)C3=NN4C(=NN=C4S3)C5=CC=CC=C5,Active,3,,,37.67,8.55414
731,22415625,366855,C1=CC=C2C(=C1)NC(=O)C(S2)CC(=O)NC3=CC=CC=C3[N+](=O)[O-],Active,3,,,37.62,6.02761
732,17508630,135464587,CC1=C(C2=CC=CC=C2N1)/C=N/NC(=O)CC3=CC=CS3,Active,3,,,37.61,3.77463
733,14736005,135461287,CC1=C2C(=CC=C1)C3=NN4C(=NN=C4SCC=C)N=C3N2,Active,3,,,37.59,3.68321
734,24781673,16187627,CCN1C=CN=C1CN(C)CC2=NC(=NO2)C3=CC4=C(C=C3)OCO4,Active,3,,,37.48,7.53953
735,22414897,11841616,COC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)CNCC4CCCO4,Active,3,,,37.47,4.69968
736,4264917,934573,C1=CC=C(C(=C1)CN2N=C(N=N2)C3=CC=CS3)Cl,Active,3,,,37.43,9.66652
737,17387220,5894016,C1=CC(=CC(=C1)Cl)/C=N\NC2=NC=CS2,Active,3,,,37.42,5.20507
738,49817659,9328358,C1CN(CCN1C2=CC=CC=C2O)C(=O)C3=CC=C(O3)C4=NC5=CC=CC=C5S4,Active,3,,,37.36,1.42605
739,4265817,847872,C1CCN(C1)C2=CC=CC(=C2)NC(=O)C3=CC=CS3,Active,3,,,37.32,4.76449
740,4252192,3245775,C1OC2=C(O1)C=C(C=C2)CNC(=O)CCCCN3C(=O)C4=CC=CC=C4NC3=O,Active,3,,,37.23,6.55355
741,14746969,3566085,CC1CCC2=C(C1)SC(=N2)NC(=O)C3CC3,Active,3,,,37.21,2.42255
742,49640675,675164,C1CC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(C=C3)F,Active,3,,,37.11,7.02637
743,26664804,294775,CN1C2=NC(=CN=C2C(=N1)NC(=O)C(F)(F)F)C3=CC=C(C=C3)Cl,Active,3,,,37.07,15.9073
744,17409107,135443991,CC1=CC2=C(C=C1)N=C(N2)SCC3=NC4=C(C=NN4C5=CC=CC=C5)C(=O)N3,Active,3,,,37.06,0.740116
745,49677270,4791502,COC1=CC(=CC(=C1OC)OC)C2=CSC(=N2)NC3CCCCC3,Active,3,,,37.06,3.40294
746,14741006,945704,CCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CS4,Active,3,,,37.03,0.0387671
747,22412588,850367,COC1=CC=C(C=C1)NC2=NC(=NC=C2)NC3=CC=C(C=C3)OC,Active,3,,,37.01,2.40331
748,24779454,16187059,CC1=C(C=C(C=C1)C2=NC3=C(S2)N=CC=C3)NS(=O)(=O)C,Active,3,,,37.01,1.86534
749,49667109,5153415,CCCCCNC1=NC=NC2=C1N(C3=CC=CC=C32)C,Active,3,,,37,3.54366
750,24819777,5141973,CC1=C(C2=C(C=C1)N=CC=C2)NC(=S)NC(=O)C3=CC=CC=C3,Active,3,,,36.99,3.11598
751,24822418,881214,COC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)C3=CC=CS3,Active,3,,,36.94,3.40448
752,853478,656135,C1CCC2=C(C1)C3=C(S2)NC(NC3=O)C4=CC=CS4,Active,3,,,36.86,7.10176
753,22413615,6537519,CC\1=NN(C(=O)/C1=C/C2=CC=CS2)C3=CC=CC=C3,Active,3,,,36.79,15.3458
754,860407,661700,C1COCCN1CCCNC2=NC=NC3=C2NC4=C3C=C(C=C4)Cl,Active,3,,,36.76,6.54322
755,4243946,3238615,CCOC1=CC2=C(C=C1)N(C(=NC(=O)C3CC3)S2)C,Active,3,,,36.75,14.4368
756,49673891,7033665,C1CN(CCN1C2=NC3=CC=CC=C3C=C2)C4=NC=CC=N4,Active,3,,,36.74,5.81447
757,24803473,935443,CC1=C(C=C(C=C1)NC(=S)NC2=NNC(=C2)C3=CC=CC=C3)Cl,Active,3,,,36.73,7.58458
758,47202018,871513,COC1=C(C=C(C(=C1)CNCC2=CC3=C(C=C2)OCO3)[N+](=O)[O-])OC,Active,3,,,36.67,4.56279
