SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,1,,,0,1,0,0,NA,NA
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,0,,0,0,0,0,0,NA,0
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,0,,,0,1,0,0,NA,NA
NC1=CC=C(C=C1)C(O)=O,0,0,0,0,0,0,0,0,0
C=CC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
COC1=C(O)C=CC(=C1)[C@H]2OC3=C(O[C@@H]2CO)C=CC(=C3)[C@H]4OC5=CC(O)=CC(O)=C5C(=O)[C@@H]4O,0,0,0,1,0,1,1,0,1
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,,1,0,0,0,0,NA,0,0
N[C@@H](CC1=CNC2=CC=C(O)C=C12)C(O)=O,0,0,0,0,0,0,0,0,0
CC(C)NC(C)C,,,0,0,0,0,NA,NA,0
CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)C(C)C,1,1,1,1,0,1,subs/inhib,0,subs/inhib
COC(=O)C1=C(O)C=CC=C1,0,0,0,0,0,0,0,0,0
CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=C3C=CC(C=C3)=[N+](C)C,0,0,1,1,1,0,1,1,0
COC1=CC(OC)=C2C(=O)[C@]3(OC2=C1Cl)[C@H](C)CC(=O)C=C3OC,0,0,1,0,0,0,0,0,0
OC(=O)C1=CC(O)=C(O)C(O)=C1,1,,,0,0,1,0,NA,NA
OC(=O)COC1=CC=CC=C1,0,0,,0,0,0,0,0,NA
NC1=NC=CS1,0,0,,0,0,0,0,0,NA
NC1=C(C=CC=C1)C(O)=O,1,0,0,0,0,0,0,0,0
OC1=C(Br)C=C(Br)C=C1Br,0,0,0,0,0,0,0,0,0
CCCCCCC1=C(O)C=C(O)C=C1,0,1,0,1,1,1,1,subs/inhib,1
CCN(CC)C(=O)C1=CC=CC(C)=C1,0,0,1,0,0,0,0,0,0
COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C,,,0,,,,NA,NA,NA
COC1=CC=C2N=CC=C([C@H](O)[C@H]3CC4CCN3C[C@@H]4C=C)C2=C1,0,0,0,0,1,0,0,1,0
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C6=CC(OC)=C(OC)C(OC)=C6,0,1,1,0,0,1,0,0,subs/inhib
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O,0,0,0,0,0,0,0,0,0
CCCCCC(N)=O,0,,0,0,0,0,0,NA,0
OC1=CC=C(Cl)C=C1CC2=CC(Cl)=CC=C2O,1,0,0,1,0,0,subs/inhib,0,0
CC(=O)NC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
CC1=C(Cl)C=CC(O)=C1,0,1,,0,0,0,0,0,NA
OC(=O)CCCCC(O)=O,0,0,0,0,0,1,0,0,1
OC1=CC=CC2=C1C(=O)C3=C(O)C=CC=C3C2=O,0,,0,0,0,1,0,NA,1
CC[N+]1=C2C=C(N)C=CC2=C3C=CC(N)=CC3=C1C4=CC=CC=C4,0,,,0,1,1,0,NA,NA
COC1=CC=C(O)C=C1,0,0,0,0,0,0,0,0,0
OC(C(=O)C1=CC=CC=C1)C2=CC=CC=C2,0,,,0,0,0,0,NA,NA
NC(=S)NCC=C,0,,0,0,0,0,0,NA,0
NC(=O)C1=CC=CC=C1O,0,0,0,0,0,0,0,0,0
CC(=O)NC1=CC=CC(O)=C1,0,,0,0,0,0,0,NA,0
CN\C(NCCSCC1=C(C)N=CN1)=N/C#N,0,0,0,0,0,0,0,0,0
COC1=C(O)C=CC(CC=C)=C1,,0,,0,0,0,NA,0,NA
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)(F)F,1,1,0,0,0,0,0,0,0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(N)=O)NC(=O)C4=NC5=C(C=CC=C5)C=C4,1,0,1,,,,NA,NA,NA
COC1=CC(\C=C\C)=CC=C1O,0,0,0,,,,NA,NA,NA
COC1=CC=C(\C=C\C)C=C1,0,,0,,,,NA,NA,NA
OC1=CC(O)=CC=C1,0,0,0,0,0,0,0,0,0
O=C1OC2=C(C=CC=C2)C=C1,0,0,0,0,0,0,0,0,0
[O-][N+](=O)C1=CC=C(O1)\C=N\N2CC(=O)NC2=O,0,1,0,0,0,1,0,0,1
OC1=CC=CC(O)=C1O,0,0,0,0,0,1,0,0,1
OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,,,0,0,0,0,NA,NA,0
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O,,0,,0,0,0,NA,0,NA
CCOC1=C(O)C=CC(C=O)=C1,1,0,0,0,0,0,0,0,0
OC1=C(C=CC=C1)C2=CC=CC=C2,,1,,,,,NA,NA,NA
CCCCCCCCCCCCCCCCCC(O)=O,0,,1,0,0,0,0,NA,0
CCOC1=C(C=CC=C1)C(N)=O,0,0,0,0,0,0,0,0,0
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,1,1,,1,0,1,subs/inhib,0,NA
COC1=C(O)C=CC(C=O)=C1,0,0,0,0,0,0,0,0,0
CC12CCC(CC1)C(C)(C)O2,0,1,0,0,0,0,0,0,0
C\C=C\C=C\C(O)=O,0,0,0,0,0,0,0,0,0
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0,0,0,0,0,0,0,0,0
CC1=CC(O)=C2C(=O)C3=C(O)C=CC=C3C(=O)C2=C1,1,,1,0,0,0,0,NA,0
CN(C)\N=N\C1=C(N=CN1)C(N)=O,0,0,0,0,0,0,0,0,0
OC(=O)C1=CC=CC=C1,1,,1,,,,NA,NA,NA
CC1CC(CC(C)(C)C1)OC(=O)C2=CC=CC=C2O,,,0,0,0,0,NA,NA,0
CC1=CC=C2N=C3N(CC[C@@]3(O)C(=O)C2=C1)C4=CC=CC=C4,1,1,0,,,,NA,NA,NA
N\C(SC1=CC=C(N)C=C1)=C(\C#N)C2=CC=CC=C2C(F)(F)F,1,0,1,1,0,1,subs/inhib,0,subs/inhib
COP(=O)(OC)OC(C1=CC=C(Cl)C=C1)P(=O)(OC)OC,0,0,0,0,0,0,0,0,0
CCC(CC)(CC(=O)NC1=CC=CC(\C=C\C2=NC(=CS2)C3CCC3)=C1)C(O)=O,1,0,1,0,0,1,0,0,subs/inhib
CCN1CCCC1CNC(=O)C2=C(OC)C=C(N)C(=C2)S(=O)(=O)CC,0,0,0,0,0,0,0,0,0
CN1N=C(N)C2=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C4=C2C1=NC=N4,0,0,0,0,0,0,0,0,0
O[C@@H](CNCCOC1=CC=C(CC(O)=O)C=C1)C2=CC=CC=C2,0,0,0,0,0,0,0,0,0
CCN(CC)CCCC(C)NC1=NC(NC2=CC3=C(N)C=C(C)N=C3C=C2)=CC(C)=N1,0,,0,0,0,0,0,NA,0
OC(=O)C1=CC2=C(NC=C2CCCCN3CCC(=CC3)C4=CC=CC=C4)C=C1,0,0,0,0,0,0,0,0,0
OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,1,1,1,0,1,0,0,subs/inhib,0
COC1=CC2=C(CC(=O)N(CCCN(C)CCC3=CC(OC)=C(OC)C=C3)CC2)C=C1OC,,0,,0,0,0,NA,0,NA
CC(C)CC(N(C)C)C1(CCC1)C2=CC=C(Cl)C=C2,1,1,1,0,1,1,0,subs/inhib,subs/inhib
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,,,0,0,0,0,NA,NA,0
CN1CCC2=CC(Cl)=C(O)C=C2[C@@H]3[C@@H]1CCC4=C3C=CC=C4,0,0,0,0,1,0,0,1,0
COC1=CC=C(C=C1OC)S(=O)(=O)N2[C@H](C(=O)N3CCC[C@@H]3C(N)=O)[C@@](O)(C4=C2C=CC(Cl)=C4)C5=C(Cl)C=CC=C5,0,0,1,0,0,1,0,0,subs/inhib
COC1=CC2=C(C=C1OC)C3=C\C(=N/C4=C(C)C=C(C)C=C4C)N(C)C(=O)N3CC2,1,1,1,1,0,0,subs/inhib,0,0
CC1=NN=C2CN=C(C3=C(SC(CCC(=O)N4CCOCC4)=C3)N12)C5=C(Cl)C=CC=C5,0,0,1,0,0,0,0,0,0
CN1CC(=O)N=C1NC(=O)NC2=CC(Cl)=CC=C2,0,0,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(C=C3)C#N)C4=CC=C(OC)C=C4O2,1,1,0,1,1,1,subs/inhib,subs/inhib,1
CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C3=C1C=CC=C3,0,1,1,0,1,1,0,subs/inhib,subs/inhib
C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23CN1C)N(C)C,0,1,0,0,0,0,0,0,0
COC1=CC=C2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCC2=C1,,0,1,1,0,1,NA,0,subs/inhib
NC(=O)C1=CN=CC=C1,0,,0,0,0,0,0,NA,0
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,,0,0,0,0,0,NA,0,0
CNCCC1=CC=CC=N1,0,0,0,0,0,0,0,0,0
CC1=CC(=O)NC(=S)N1,0,,0,0,0,0,0,NA,0
NC1=CC=C(C=C1)[As](O)(O)=O,0,0,0,0,0,0,0,0,0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0,0,0,1,0,0,1,0,0
CN1[C@@H](CCC1=O)C2=CN=CC=C2,,0,0,0,0,0,NA,0,0
CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]3=C(C)C=C(N)C4=CC=CC=C34,0,0,,0,1,1,0,1,NA
CNC(=O)OC1=CC=C2N(C)[C@H]3N(C)CC[C@@]3(C)C2=C1,0,0,0,0,1,0,0,1,0
N[C@@H](CCC(N)=O)C(O)=O,,,0,,,,NA,NA,NA
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0,0,0,0,0,0,0
CC1NC2=CC(Cl)=C(C=C2C(=O)N1C3=C(C)C=CC=C3)S(N)(=O)=O,0,0,1,0,0,0,0,0,0
O\N=C1C2=CC=CC=C2NC/1=C3\C(=O)NC4=CC(Br)=CC=C34,1,0,1,0,0,0,0,0,0
CC1=CC(C)=C(N1)\C=C2/C(=O)NC3=CC=CC=C23,1,0,,,,,NA,NA,NA
CC1=CC=C(C=C1)[S+]([O-])(=O)N[C@@H](CC2=CC=CC=C2)C(=O)CCl,1,1,1,1,0,1,subs/inhib,0,subs/inhib
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,,1,0,,,,NA,NA,NA
CCOP(=S)(OCC)OC1=CC=C2C(C)=C(Cl)C(=O)OC2=C1,1,1,1,1,0,0,subs/inhib,0,0
CCNC1=NC(NCC)=NC(Cl)=N1,0,0,1,0,0,0,0,0,0
CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,0,0,0,0,0,0,0,0,0
NC(=O)C1=C(Cl)C=C(C=C1)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
CC(C)=CC1C(C(=O)OCC2=CC(OC3=CC=CC=C3)=CC=C2)C1(C)C,1,,1,1,0,1,subs/inhib,NA,subs/inhib
CC(C)C1=CC=CC(=O)C(O)=C1,0,0,0,0,0,0,0,0,0
CCN(C(=O)C=CC)C1=C(C)C=CC=C1,0,0,0,0,0,0,0,0,0
NC1=C(C(=NN1C2=C(Cl)C=C(C=C2Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,,0,1,1,1,0,NA,1,0
O=C1NC=NC2=C1C=NN2,0,0,0,0,0,0,0,0,0
CC1=CC(O)=CC(C)=C1Cl,1,,,0,0,0,0,NA,NA
NS(=O)(=O)C1=C(Cl)C=CC(=C1)C2(O)NC(=O)C3=C2C=CC=C3,0,0,0,0,0,0,0,0,0
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,0,0,0,0,1,0,0,1,0
S1C2=C(C=CC=C2)C3=C1C=CC=C3,1,,,0,0,0,0,NA,NA
COC1=C(OCC(O)CO)C=CC=C1,0,,0,0,0,0,0,NA,0
S=C1NC=NC2=C1N=CN2,0,0,0,0,0,0,0,0,0
C1N2CN3CN1CN(C2)C3,0,0,1,0,0,0,0,0,0
CN1C=CNC1=S,,0,0,0,0,0,NA,0,0
NC(=O)NC(=O)CC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
OCC1=CC=CC=C1O,0,0,0,0,0,0,0,0,0
CN1C(CC([O-])=O)=CC(C)=C1C(=O)C2=CC=C(Cl)C=C2,0,1,0,0,0,0,0,0,0
OC1=C2N=CC=CC2=C(Br)C=C1Br,0,0,1,0,0,0,0,0,0
CCC(=O)C1=C(O)C=C(O)C=C1O,1,0,0,0,0,1,0,0,1
CCC(C(CC)C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,1,0,,,,,NA,NA,NA
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,0,1,1,0,1,0,0,subs/inhib,0
CC(=O)NC(CCC(O)=O)C(O)=O,,,0,,,,NA,NA,NA
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,0,0,0,0,0,0,0,0,0
NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC=C)NS(=O)(=O)C2=C1,0,0,0,0,0,0,0,0,0
NC1=NC=NC2=C1N=CN2,0,0,0,0,0,0,0,0,0
NC1=C2C=CC=CC2=NC3=C1C=CC=C3,1,0,0,0,0,0,0,0,0
CC1=NCCC2=C1NC3=C2C=CC(O)=C3,0,0,0,0,0,0,0,0,0
O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N3CCCCC3,1,0,0,0,0,0,0,0,0
OC[C@H]1O[C@@H](OC2=C(O)C=C3OC(=O)C=CC3=C2)[C@H](O)[C@@H](O)[C@@H]1O,0,0,0,0,0,0,0,0,0
OCC(O)COC(=O)C1=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=CC=C1,0,0,1,1,1,1,1,1,subs/inhib
CN1CCOC(C2=CC=CC=C2)C3=C(C1)C=CC=C3,0,1,0,0,1,0,0,subs/inhib,0
CC1=C(OCC(O)CO)C=CC=C1,0,,0,0,0,1,0,NA,1
ClC1=CC=C(CSC(CN2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C=C1,1,0,1,1,1,1,subs/inhib,1,subs/inhib
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C2=CC=CS2,0,0,0,1,0,0,1,0,0
O=C1NS(=O)(=O)C2=C1C=CC=C2,0,0,0,0,0,0,0,0,0
CC(C(O)=O)C1=CC=C2C(NC3=CC=C(Cl)C=C23)=C1,0,,0,0,0,0,0,NA,0
O=C(OCC1=CC=CC=C1)C2=CC=CC=C2,0,,,0,0,0,0,NA,NA
CC1=C(C=C(C=C1C(N)=O)[N+]([O-])=O)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
OC(=O)C1=CC(=O)C2=C(O1)C=CC=C2,0,0,0,0,0,0,0,0,0
CC(=O)NCCCCCC(O)=O,0,0,0,0,0,0,0,0,0
CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,0,0,0,0,1,0,0,1,0
OC1=CC2=C(SC(=O)O2)C=C1,,1,,0,0,0,NA,0,NA
CC(=O)OC1=CC=C(Cl)C2=C1N=CC=C2,0,,,0,0,0,0,NA,NA
CC(=O)NC1=CC=C(C=C1)[S+]([O-])(=O)NC2=CC=C(C=C2)[N+]([O-])=O,0,0,0,,,,NA,NA,NA
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,,0,0,0,1,0,NA,1,0
CCCCCCOC1=C(C=CC=C1)C(N)=O,1,0,0,1,0,0,subs/inhib,0,0
CC(=O)OC1=CC=CC(O)=C1,0,0,,0,0,0,0,0,NA
CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O,1,0,0,0,0,0,0,0,0
OC1=NC(S)=NC=C1,,,0,0,0,0,NA,NA,0
OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3,0,0,0,0,0,0,0,0,0
CCCC1=NN(C)C2=C1N=C(NC2=O)C3=CC(=CC=C3OCC)S(=O)(=O)N4CCN(C)CC4,,0,1,0,0,1,NA,0,subs/inhib
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,0,0,0,0,0,1,0,0,1
COC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,0,1,0,0,0,0,0,0,0
COC1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)C(C)(C)C,0,0,0,0,0,0,0,0,0
CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,0,0,0,0,0,0,0,0,0
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(O)=O,1,0,0,0,0,0,0,0,0
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=NN5,,0,0,0,0,1,NA,0,1
CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC4=CC=C(C=C4)C5=CC=CC=C5C6=NN=NN6,1,1,1,1,0,1,subs/inhib,0,subs/inhib
CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C3=NC=CC=C3,1,0,0,0,0,0,0,0,0
CCCCC1=NC(Cl)=C(CO)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NNN=N4,1,0,0,1,0,0,subs/inhib,0,0
CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(N)(=O)=O,0,1,1,0,0,0,0,0,0
CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O,0,0,0,0,0,0,0,0,0
CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N3CCCC3)C=C2,0,0,0,0,0,0,0,0,0
CCCC1=NC2=C(C=C(C=C2C)C3=NC4=C(C=CC=C4)N3C)N1CC5=CC=C(C=C5)C6=C(C=CC=C6)C(O)=O,1,0,0,1,0,1,subs/inhib,0,1
COC1=CC2=NC(=NC(N)=C2C=C1OC)N(C)CCCNC(=O)C3CCCO3,0,0,0,0,0,0,0,0,0
COC(=O)N\N=C\C1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=C1,0,0,0,0,0,0,0,0,0
COC(=O)NC1=NC2=C(N1)C=CC(=C2)S(=O)C3=CC=CC=C3,0,0,0,0,0,0,0,0,0
CC(O)CN1C(C)=NC=C1[N+]([O-])=O,0,0,0,0,0,0,0,0,0
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,1,0,1,0,0,0,0,0,0
OC(=O)C(CC1=CC(=O)NC2=C1C=CC=C2)NC(=O)C3=CC=C(Cl)C=C3,0,0,0,0,0,0,0,0,0
CCCC1=NC=CC(=C1)C(N)=S,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0
NC(=O)CS(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,,0,,0,0,0,NA,0,NA
CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C3=CC=C(C)C=C3,0,0,0,0,0,0,0,0,0
CCCCCNC(=N)N\N=C\C1=CNC2=C1C=C(OC)C=C2,0,1,0,0,1,0,0,subs/inhib,0
CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C=C(OCCN(CC)CC)C=C3)C2=O,0,0,0,0,0,0,0,0,0
CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3,1,0,,1,1,0,subs/inhib,1,NA
CC1=C(O)C(=O)C=C2C1=CC=C3[C@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@@]5(C)CC[C@@]34C)C(O)=O,0,0,1,,,,NA,NA,NA
OC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1O,0,0,1,0,0,0,0,0,0
COC1=CC(OC)=CC(OC)=C1,1,0,0,0,0,0,0,0,0
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(OC(C)=O)=C(C)C(C)=C2O1,,0,,,,,NA,NA,NA
OC1=C2N=CC=CC2=C(Cl)C=C1Cl,0,1,0,0,0,0,0,0,0
OC1=CC=C2C(=O)C3=C(C(O)=CC=C3O)C(=O)C2=C1O,0,,1,0,0,0,0,NA,0
OC1=C2N=CC=CC2=C(Cl)C=C1,1,1,1,0,0,0,0,0,0
[O-][N+](=O)C1=CC=C(O1)\C=N\N2CCOC2=O,0,1,1,0,0,1,0,0,subs/inhib
COC1=C(F)C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)F,0,1,0,1,1,0,1,subs/inhib,0
CCCCCC\C=C/CCCCCCCC1=CC=CC(O)=C1C(O)=O,,0,,1,0,0,NA,0,NA
OC1=CC(O)=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1O,1,,0,0,0,0,0,NA,0
C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12,,0,0,0,0,0,NA,0,0
CC(C)[C@@H]1CC[C@@H](C)CC1=O,,0,0,0,0,0,NA,0,0
O=C1NC=NC2=C1NC=N2,1,1,0,0,0,0,0,0,0
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,1,1,1,1,0,1,subs/inhib,0,subs/inhib
CN1CC(=O)NC1=N,0,0,0,0,0,0,0,0,0
CC1=CC=CC(C(O)=O)=C1O,0,0,0,0,0,0,0,0,0
CNS(=O)(=O)Cc1ccc2ncc(CCN(C)C)c2c1,0,0,0,0,0,0,0,0,0
OCCOCCN1CCN(CC1)C2=NC3=C(SC4=C2C=CC=C4)C=CC=C3,0,1,1,0,0,0,0,0,0
NC1=CC(O)=C(C=C1)C(=O)OC2=CC=CC=C2,1,1,1,0,0,0,0,0,0
FC(C(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C(Cl)=C1,0,,0,0,0,0,0,NA,0
CCOC1=CC2=C(C=C1)N=C3C=C(N)C=CC3=C2N,0,0,0,0,0,1,0,0,1
CN1CCN(CC1)C2=NC3=C(NC4=C2C=C(C)S4)C=CC=C3,,,0,0,0,0,NA,NA,0
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC3=C(O)N=CN=C23,0,0,,0,0,0,0,0,NA
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC3=C2N=CN=C3S,0,0,0,0,0,0,0,0,0
CCCCC1CCC(CCCC(C)CCC(O)=O)CC1,0,0,0,0,0,0,0,0,0
COC1=CC=C(OCC(=O)NC2=C(C)C=CC(=C2)C3=NC4=C(S3)C=CC=C4)C=C1,1,1,1,1,0,1,subs/inhib,0,subs/inhib
COC1=CC=C(OC)C(\C=C(/C#N)C2=NC3=CC=CC=C3C(=O)N2)=C1,1,1,0,1,0,1,subs/inhib,0,1
FC(F)(F)C(=O)NC1=C(C(=O)NC2=CC(Cl)=CC=C2)C3=C(CCCC3)S1,,0,,1,1,1,NA,1,NA
ClC1=C(\C=C(\C#N)C2=NC3=CC=CC=C3C(=O)N2)C=CC=C1,1,0,1,1,0,0,subs/inhib,0,0
OC(=O)C1=C(OC2=C1C=C(OCC3=CC=C(Cl)C(Cl)=C3)C=C2)C4=CC=CC=C4,,0,,0,0,0,NA,0,NA
CC1=CC=CC=C1C(=O)NC2=C(C(O)=O)C3=C(CC(CC3)C(C)(C)C)S2,0,0,0,0,0,0,0,0,0
CC1=CC=C(C=C1)C(NC2=NC=CC=C2)C3=C(O)C4=NC=CC=C4C=C3,1,1,1,0,0,0,0,0,0
CC1=CC=CC(NC(C2=CC=CC(Cl)=C2)C3=C(O)C4=NC=CC=C4C=C3)=N1,1,1,1,0,0,0,0,0,0
CC1=CC(NC(C2=CC(C)=CC=C2O)C3=C(O)C4=NC=CC=C4C=C3)=NC=C1,1,1,1,0,0,0,0,0,0
CCOC(=O)C1=C(NCCC2=CC=C(OC)C(OC)=C2)C3=CC(OC)=CC=C3N=C1,,0,1,1,1,1,NA,1,subs/inhib
CC1=CC(NC(C2=CC=CC(O)=C2)C3=C(O)C4=NC(C)=CC=C4C=C3)=NC=C1,1,1,1,1,0,0,subs/inhib,0,0
CC1=C(C=C(C=C1)C2=C3C=CC=CC3=C(NC4=CC=CC=C4)N=N2)[S+]([O-])(=O)NCC5=NC6=C(N5)C=CC=C6,1,1,1,0,1,1,0,subs/inhib,subs/inhib
COC1=CC=C(NC2=C3C=CC=CC3=C(N=N2)C4=CC(=C(C)C=C4)[S+]([O-])(=O)NCC5=NC6=C(N5)C=CC=C6)C=C1,,0,1,1,1,1,NA,1,subs/inhib
CC1=CC=C(NC2=C3C=CC=CC3=C(N=N2)C4=CC(=C(C)C=C4)[S+]([O-])(=O)NCC5=NC6=C(N5)C=CC=C6)C=C1,1,1,1,1,1,1,subs/inhib,subs/inhib,subs/inhib
CC1=C(C=C(C=C1)C2=C3C=CC=CC3=C(NC4=CC=C(Br)C=C4)N=N2)[S+]([O-])(=O)NCC5=NC6=C(N5)C=CC=C6,0,0,1,1,1,1,1,1,subs/inhib
COC1=CC=C(C=C1)C(=O)NC2=NC3=C(C=CC=C3)N2CCOC4=CC=C(Cl)C=C4,1,0,1,0,0,0,0,0,0
COC1=C(OC(=O)C2=C(F)C=CC=C2)C=CC(=C1)C(C3=C(O)NN=C3C)C4=C(O)NN=C4C,1,1,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(C3=C(O)NN=C3C)C4=C(O)NN=C4C,1,1,0,0,0,0,0,0,0
COC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2OC)C(C3=C(O)NN=C3C)C4=C(O)NN=C4C,1,1,1,1,0,0,subs/inhib,0,0
COC1=C(OC(=O)C2=CC=CC(C)=C2)C=CC(=C1)C(C3=C(O)NN=C3C)C4=C(O)NN=C4C,1,1,1,0,0,0,0,0,0
