CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,5.392,0.6442532283366706,VERAPAMIL HYDROCHLORIDE,SID856000,10
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,6.371,0.5885660540670009,THIOPERAMIDE,SID11112887,10
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,5.6899999999999995,0.11972189997378696,PAPAVERINE HYDROCHLORIDE,SID26747626,10
NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,5.322222222222222,0.22791323885295586,PHENELZINE SULFATE,SID26747636,9
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,5.3999999999999995,0.29999999999999966,CLEMASTINE,SID11112618,9
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,5.300000000000001,0.15000000000000033,ZUCAPSAICIN,SID11113512,9
COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,QVZCXCJXTMIDME-UHFFFAOYSA-N,5.033333333333333,0.0499999999999998,DILAZEP,SID11112657,9
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,5.333333333333333,0.2500000000000001,PIRIBEDIL,SID11113867,9
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-SFHVURJKSA-N,5.333333333333333,0.05000000000000049,,SID11111634,9
CC(C)CC1C(=O)N2CCC[C@@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-YKJQSKOWSA-N,6.1,0.08660254037844423,,SID11113004,9
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,VQLPLYSROCPWFF-ROUUACIJSA-N,5.166666666666667,0.09999999999999996,(-)-U-50488,SID11113517,9
COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-MHZLTWQESA-N,5.566666666666666,0.049999999999999725,(S)-VERAPAMIL,SID11113624,9
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,INVGWHRKADIJHF-UHFFFAOYSA-N,5.125,0.3105295017040592,SANGUINARIUM,SID11111811,8
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,SNTQPLDRUZOSDP-UHFFFAOYSA-N,5.8125,0.15526475085202945,PROADIFEN HYDROCHLORIDE,SID26747613,8
CC1CCC2C(=O)OC(CN=[N+]=[N-])CN2C1c1ccc(Br)cc1,AREWGIRYUHHIQN-UHFFFAOYSA-N,5.425000000000001,0.046291004988627385,,SID26752445,8
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,IDEHCMNLNCJQST-UHFFFAOYSA-N,5.525,0.10350983390135274,N-AMINOHEXYL-5-CHLORO-1-NAPTHALENESULFONAMIDE HYDROCHLORIDE,SID26747435,8
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,GZUITABIAKMVPG-UHFFFAOYSA-N,5.7125,0.15526475085203004,RALOXIFENE HYDROCHLORIDE,SID50106949,8
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,5.3625,0.350255009141299,NICLOSAMIDE,SID11111533,8
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,QWCJHSGMANYXCW-UHFFFAOYSA-N,5.7,0.7634508123364225,SULFAPHENAZOLE,SID11111774,8
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IKMDFBPHZNJCSN-UHFFFAOYSA-N,5.0125,0.3440826312717009,MYRICETIN,SID26753603,8
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,5.25,0.20701966780270648,GLYBURIDE,SID11112597,8
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,5.55,0.3338091841585124,APIGENIN,SID17389511,8
CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,5.0249999999999995,0.13887301496588253,DISULFIRAM,SID11111859,8
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CURUTKGFNZGFSE-UHFFFAOYSA-N,5.4125,0.1552647508520295,DICYCLOMINE HYDROCHLORIDE,SID26747501,8
