CANONICAL_SMILES,INCHIKEY,common_name,appears_in_N_ds
C/C=C\C[C@H](C)[C@H](O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,PMATZTZNYRCHOR-WADPPZLWSA-N,,2
COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(OC(F)(F)F)cc4)c3C[C@H]2CN1C(=O)c1ccccc1,QOKMCYCCJICRHC-BZZCMJIQSA-N,,2
Cc1nn(C)c(Cl)c1S(=O)(=O)N[C@@H](c1ccccc1)[C@]1(C)C[C@H]1C(C)C(=O)Nc1ccc2ccccc2c1,HMZIIROBFORYQD-GRJNLCJDSA-N,,2
COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@H]1CO2,WDTAYDBPNYFWDR-VQTJNVASSA-N,,2
COc1ccc(Oc2ncc3nc(C)c(=O)n(CCc4ccccc4)c3n2)cc1,IEWSXZQTMAUBDI-UHFFFAOYSA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)C2C(CC(=O)C2CC(=O)C(=O)N2CCCC2)CN1C(=O)c1ccccc1,FUOZZSMWBZCJBY-NTCAFSCDSA-N,,2
CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]21,LUZRJRNZXALNLM-LBNQTOQESA-N,,2
CCCc1cc2c(n1Cc1ccc(C)cc1)C(C)C1CN(C(=O)c3ccccc3)C(C)(C(=O)OC)C21,LGVGIRLAIAQSHE-UHFFFAOYSA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4ccc(O)c(O)c4)c3C[C@H]2CN1C(=O)c1ccccc1,IOVKSLQPMLNGPI-SLPAIBBYSA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccccn4)c3C[C@H]2CN1C(=O)c1ccccc1,UNZZWPZBBZRBSR-ARROIKNCSA-N,,2
COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(C)o4)c3C[C@H]2CN1C(=O)c1ccccc1,AUFYTBYVLMHLSG-IQGXZWDMSA-N,,2
CCCc1cc2c(n1Cc1cc(F)cc(F)c1)C(C)C1CN(C(=O)c3ccccc3)C(C)(C(=O)OC)C21,LWHZJVLHFDAJEE-UHFFFAOYSA-N,,2
